time,type,number,queueLength,totalPacketLoss
354.746,0,307,0,0
354.95,1,308,1,0
355.721,0,308,0,0
358.663,1,309,1,0
358.778,1,310,2,0
360.531,1,311,3,0
360.97,1,312,4,0
361.217,0,309,3,0
361.26,0,310,2,0
361.738,0,311,1,0
361.92,0,312,0,0
363.028,1,313,1,0
363.213,1,314,2,0
363.541,0,313,1,0
363.654,1,315,2,0
364.195,0,314,1,0
364.327,0,315,0,0
364.804,1,316,1,0
365.819,0,316,0,0
366.313,1,317,1,0
368.522,0,317,0,0
368.818,1,318,1,0
368.918,0,318,0,0
371.165,1,319,1,0
371.18,1,320,2,0
371.67,0,319,1,0
372.377,0,320,0,0
372.831,1,321,1,0
372.922,1,322,2,0
372.957,0,321,1,0
373.037,0,322,0,0
373.819,1,323,1,0
374.006,1,324,2,0
374.594,1,325,3,0
374.626,1,326,4,0
375.319,0,323,3,0
376.315,0,324,2,0
376.485,0,325,1,0
376.521,1,327,2,0
377.421,1,328,3,0
377.43,0,326,2,0
378.09,0,327,1,0
378.501,0,328,0,0
379.853,1,329,1,0
379.946,1,330,2,0
379.976,0,329,1,0
380.116,0,330,0,0
380.667,1,331,1,0
381.769,0,331,0,0
381.966,1,332,1,0
381.968,0,332,0,0
382.332,1,333,1,0
382.67,0,333,0,0
384.02,1,334,1,0
384.197,1,335,2,0
384.673,1,336,3,0
385.372,1,337,4,0
385.849,1,338,5,0
387.652,0,334,4,0
388.149,0,335,3,0
388.339,0,336,2,0
388.349,1,339,3,0
389.197,0,337,2,0
389.572,0,338,1,0
390.261,0,339,0,0
391.253,1,340,1,0
391.507,0,340,0,0
391.883,1,341,1,0
392.802,1,342,2,0
393.149,0,341,1,0
395.605,0,342,0,0
395.749,1,343,1,0
396.253,0,343,0,0
396.525,1,344,1,0
397.134,1,345,2,0
397.514,0,344,1,0
398.196,1,346,2,0
398.507,1,347,3,0
398.754,0,345,2,0
399.042,0,346,1,0
399.504,0,347,0,0
400.835,1,348,1,0
401.108,1,349,2,0
401.46,1,350,3,0
401.482,1,351,4,0
401.67,0,348,3,0
402.078,1,352,4,0
402.672,0,349,3,0
402.987,0,350,2,0
403.257,1,353,3,0
403.327,1,354,4,0
403.583,1,355,5,0
403.632,0,351,4,0
403.933,0,352,3,0
403.938,1,356,4,0
405.513,1,357,5,0
405.784,0,353,4,0
405.811,1,358,5,0
406.699,1,359,6,0
407.039,0,354,5,0
408.222,0,355,4,0
408.359,1,360,5,0
408.879,0,356,4,0
408.996,0,357,3,0
410.385,1,361,4,0
410.622,0,358,3,0
412.248,0,359,2,0
412.611,1,362,3,0
413.418,1,363,4,0
413.714,1,364,5,0
413.856,0,360,4,0
414.854,0,361,3,0
416.049,1,365,4,0
420.177,0,362,3,0
420.505,0,363,2,0
420.998,1,366,3,0
421.12,0,364,2,0
421.682,1,367,3,0
422.524,1,368,4,0
424.189,1,369,5,0
424.616,0,365,4,0
425.192,0,366,3,0
425.548,1,370,4,0
425.571,1,371,5,0
425.757,0,367,4,0
425.805,1,372,5,0
425.961,1,373,6,0
426.006,1,374,7,0
426.656,0,368,6,0
427.004,1,375,7,0
427.013,0,369,6,0
427.803,0,370,5,0
428.233,0,371,4,0
429.164,1,376,5,0
429.612,1,377,6,0
429.86,0,372,5,0
430.562,1,378,6,0
430.617,1,379,7,0
430.953,0,373,6,0
431.675,1,380,7,0
432.172,0,374,6,0
433.456,1,381,7,0
434.686,0,375,6,0
434.861,0,376,5,0
434.939,0,377,4,0
435.701,0,378,3,0
436.016,1,382,4,0
436.966,0,379,3,0
437.585,0,380,2,0
438.086,0,381,1,0
439.441,0,382,0,0
439.851,1,383,1,0
439.937,1,384,2,0
439.942,1,385,3,0
440.931,1,386,4,0
443.363,0,383,3,0
444.245,0,384,2,0
445.499,0,385,1,0
445.579,0,386,0,0
447.465,1,387,1,0
448.328,0,387,0,0
448.747,1,388,1,0
449.36,0,388,0,0
449.388,1,389,1,0
449.735,1,390,2,0
450.2,1,391,3,0
450.75,1,392,4,0
450.803,0,389,3,0
451.33,0,390,2,0
451.401,1,393,3,0
451.534,1,394,4,0
451.62,0,391,3,0
453.336,0,392,2,0
455.662,0,393,1,0
455.776,1,395,2,0
456.285,0,394,1,0
456.556,0,395,0,0
456.997,1,396,1,0
457.832,0,396,0,0
460.413,1,397,1,0
462.554,0,397,0,0
463.331,1,398,1,0
463.827,1,399,2,0
464.008,1,400,3,0
464.311,1,401,4,0
464.333,1,402,5,0
465.325,1,403,6,0
465.436,0,398,5,0
466.297,0,399,4,0
466.762,1,404,5,0
467.302,0,400,4,0
467.867,0,401,3,0
468.112,1,405,4,0
468.244,0,402,3,0
468.754,0,403,2,0
468.786,1,406,3,0
469.366,1,407,4,0
469.626,0,404,3,0
470.876,1,408,4,0
471.385,1,409,5,0
471.423,1,410,6,0
472.636,1,411,7,0
473.184,0,405,6,0
473.592,1,412,7,0
474.326,1,413,8,0
474.599,1,414,9,0
476.505,1,415,10,0
477.211,0,406,9,0
477.242,0,407,8,0
477.322,1,416,9,0
477.838,1,417,10,0
478.264,0,408,9,0
478.531,1,418,10,0
478.988,0,409,9,0
479.159,1,419,10,0
479.986,0,410,9,0
480.118,1,420,10,0
480.154,0,411,9,0
480.216,0,412,8,0
481.559,1,421,9,0
481.706,1,422,10,0
481.977,0,413,9,0
482.005,1,423,10,0
482.568,1,424,11,0
482.877,0,414,10,0
483.137,1,425,11,0
484.338,1,426,12,0
485.423,0,415,11,0
485.617,0,416,10,0
485.627,0,417,9,0
486.569,0,418,8,0
486.894,0,419,7,0
487.115,1,427,8,0
487.79,1,428,9,0
488.002,0,420,8,0
488.028,0,421,7,0
488.064,1,429,8,0
488.098,0,422,7,0
488.265,1,430,8,0
488.406,0,423,7,0
489.284,0,424,6,0
490.443,0,425,5,0
490.659,1,431,6,0
491.736,1,432,7,0
491.836,0,426,6,0
492.549,1,433,7,0
494.509,0,427,6,0
494.746,1,434,7,0
496.532,0,428,6,0
496.886,0,429,5,0
497.242,1,435,6,0
497.697,0,430,5,0
499,0,431,4,0
499.072,0,432,3,0
499.446,0,433,2,0
500.236,0,434,1,0
500.453,1,436,2,0
500.942,0,435,1,0
502.004,0,436,0,0
502.111,1,437,1,0
502.296,0,437,0,0
503.16,1,438,1,0
503.476,1,439,2,0
503.763,1,440,3,0
503.982,0,438,2,0
504.102,0,439,1,0
505.063,0,440,0,0
505.516,1,441,1,0
505.771,0,441,0,0
506.302,1,442,1,0
506.5,0,442,0,0
506.665,1,443,1,0
507.735,0,443,0,0
507.813,1,444,1,0
509.393,0,444,0,0
509.909,1,445,1,0
510.046,0,445,0,0
513.005,1,446,1,0
513.4,0,446,0,0
514.696,1,447,1,0
515.88,1,448,2,0
516.005,1,449,3,0
516.315,0,447,2,0
517.219,0,448,1,0
517.309,1,450,2,0
517.923,1,451,3,0
519.859,0,449,2,0
520.48,1,452,3,0
521.044,0,450,2,0
525.51,1,453,3,0
525.919,0,451,2,0
525.949,0,452,1,0
526.1,1,454,2,0
527.477,1,455,3,0
528.814,0,453,2,0
529.058,1,456,3,0
529.197,0,454,2,0
530.258,1,457,3,0
530.47,1,458,4,0
530.6,0,455,3,0
531.228,1,459,4,0
531.53,1,460,5,0
531.536,1,461,6,0
531.906,0,456,5,0
532.516,0,457,4,0
532.58,1,462,5,0
532.619,0,458,4,0
532.729,0,459,3,0
532.963,0,460,2,0
533.641,1,463,3,0
533.674,0,461,2,0
534.309,0,462,1,0
534.608,0,463,0,0
535.935,1,464,1,0
536.162,0,464,0,0
536.802,1,465,1,0
536.917,1,466,2,0
537.155,1,467,3,0
537.35,0,465,2,0
537.746,0,466,1,0
538.049,0,467,0,0
540.512,1,468,1,0
541.395,1,469,2,0
541.808,0,468,1,0
541.941,0,469,0,0
543.076,1,470,1,0
543.13,0,470,0,0
544.413,1,471,1,0
544.601,0,471,0,0
545.155,1,472,1,0
545.248,1,473,2,0
545.448,1,474,3,0
546.306,1,475,4,0
546.701,1,476,5,0
547.567,0,472,4,0
547.599,1,477,5,0
547.63,1,478,6,0
547.803,0,473,5,0
547.955,1,479,6,0
548.26,1,480,7,0
548.399,1,481,8,0
548.65,0,474,7,0
548.81,0,475,6,0
548.858,1,482,7,0
549.059,0,476,6,0
549.812,0,477,5,0
549.97,1,483,6,0
550.386,1,484,7,0
550.433,1,485,8,0
550.447,1,486,9,0
551.498,0,478,8,0
552.106,0,479,7,0
552.11,1,487,8,0
552.465,1,488,9,0
553.188,0,480,8,0
553.602,1,489,9,0
554.033,0,481,8,0
554.323,0,482,7,0
555.211,1,490,8,0
555.696,0,483,7,0
555.943,1,491,8,0
556.312,1,492,9,0
556.731,1,493,10,0
557.739,0,484,9,0
558.191,1,494,10,0
558.538,0,485,9,0
558.555,1,495,10,0
559.57,0,486,9,0
559.702,1,496,10,0
559.725,1,497,11,0
559.841,0,487,10,0
560.169,0,488,9,0
560.673,0,489,8,0
561.073,0,490,7,0
561.607,1,498,8,0
563.231,0,491,7,0
564.541,1,499,8,0
564.793,0,492,7,0
